กำหนดส่ง,แผ่นหน้า,"ลอน C",แผ่นกลาง,"ลอน B",แผ่นหลัง,จน.ชั้น,กว้างผลิต,ยาวผลิต,ทับเส้นซ้าย,ทับเส้นกลาง,ทับเส้นขวา,เลขที่ใบสั่งขาย,ชนิดส่วนประกอบ,จำนวนสั่งขาย,จำนวนสั่งผลิต,ประเภททับเส้น,สถานะใบสั่ง,"% ที่เกิน"
2024/01/03,KS161,CM147,CM127,CM127,CM147,5,507,1448,133,241,133,12181155429,A,3120,3270,N,Y,5
2024/01/03,KS161,CM147,CM147,CM147,KB230,5,463,1300,144,175,144,12181158298,E,4000,4200,N,Y,5
2024/01/03,KS161,CM147,CM147,CM147,KB230,5,470,1300,147,176,147,12181158276,A,4400,4620,N,Y,5
2024/01/03,KS161,CM147,CM147,CM147,KB230,5,470,1300,147,176,147,12181158277,A,4800,5040,N,Y,5
2024/01/03,KS161,CM147,CM147,CM147,KB230,5,470,1300,147,176,147,12181158292,A,2800,2940,N,Y,5
2024/01/03,KS231,,,CM197,KB230,3,1067,879,1067,0,0,12181157825,G,5000,5250,Y,A,5
2024/01/03,KS231,CM127,,,KB160,3,350,922,67,216,67,12181158642,A,1720,1890,N,Y,10
2024/01/03,KS231,CM127,,,KB160,3,549,1319,109,331,109,12181158308,E,29600,30190,N,Y,2
2024/01/03,KS231,CM127,,,KB230,3,427,1054,120,187,120,12181158313,A,940,1030,N,Y,10
2024/01/03,KS231,CM127,,,KB230,3,427,1054,120,187,120,12181158336,A,880,960,X,Y,10
2024/01/03,KS231,CM127,,,KB230,3,512,1259,107,298,107,12181157862,A,760,830,X,Y,10
2024/01/03,KS231,CM127,,,KB230,3,515,1337,131,253,131,12181157867,A,1680,1840,N,Y,10
2024/01/03,KS231,CM127,,,KB230,3,515,1337,131,253,131,12181157869,A,820,900,N,Y,10
2024/01/03,KS231,CM127,,,KB230,3,515,1337,131,253,131,12181157870,A,820,900,X,Y,10
2024/01/03,KS231,CM127,,,KB230,3,515,1337,131,253,131,12181157871,A,1680,1840,X,Y,10
2024/01/03,KS231,CM127,CM127,CM127,KB160,5,341,906,90,161,90,12181158326,E,3630,3810,N,Y,5
2024/01/03,KS231,CM127,CM127,CM127,KB160,5,341,906,90,161,90,12181158348,E,1190,1300,N,Y,10
2024/01/03,KS231,CM127,CM127,CM127,KB160,5,365,984,105,155,105,12181158350,A,1750,1920,N,Y,10
2024/01/03,KS231,CM127,CM127,CM127,KB160,5,370,900,90,190,90,12181158352,A,1410,1550,N,Y,10
2024/01/03,KS231,CM127,CM127,CM127,KB160,5,387,1194,106,175,106,12181158094,A,1730,1900,N,Y,10
2024/01/03,KS231,CM127,CM127,CM127,KB160,5,403,952,86,231,86,12181158343,E,5830,6120,N,Y,5
2024/01/03,KS231,CM127,CM127,CM127,KB160,5,422,1066,92,238,92,12181158044,A,1160,1270,N,Y,10
2024/01/03,KS231,CM127,CM127,CM127,KB160,5,431,1014,118,195,118,12181158041,A,1240,1360,N,Y,10
2024/01/03,KS231,CM127,CM127,CM127,KB160,5,431,1014,118,195,118,12181158042,A,1240,1360,N,Y,10
2024/01/03,KS231,CM127,CM127,CM127,KB160,5,435,1190,120,195,120,12181158070,A,840,920,N,Y,10
2024/01/03,KS231,CM127,CM127,CM127,KB160,5,440,1110,100,240,100,12181158084,A,3740,3920,N,Y,5
2024/01/03,KS231,CM127,CM127,CM127,KB160,5,440,1110,100,240,100,12181158057,A,1230,1350,X,Y,10
2024/01/03,KS231,CM127,CM127,CM127,KB160,5,440,1110,100,240,100,12181158058,A,2440,2560,X,Y,5
2024/01/03,KS231,CM127,CM127,CM127,KB160,5,440,1190,100,240,100,12181158078,A,1060,1160,N,Y,10
2024/01/03,KS231,CM127,CM127,CM127,KB160,5,440,1190,100,240,100,12181158079,A,2170,2270,N,Y,5
2024/01/03,KS231,CM127,CM127,CM127,KB160,5,440,1190,100,240,100,12181158080,A,2170,2270,N,Y,5
2024/01/03,KS231,CM127,CM127,CM127,KB160,5,455,1260,102,251,102,12181158033,A,1300,1430,N,Y,10
2024/01/03,KS231,CM127,CM127,CM127,KB160,5,457,1054,106,245,106,12181158031,A,1460,1600,N,Y,10
2024/01/03,KS231,CM127,CM127,CM127,KB160,5,480,1020,100,280,100,12181158048,A,1260,1380,N,Y,10
2024/01/03,KS231,CM127,CM127,CM127,KB160,5,480,1020,100,280,100,12181158047,A,2590,2720,X,Y,5
2024/01/03,KS231,CM127,CM127,CM127,KB160,5,528,1260,99,330,99,12181158280,E,1200,1320,X,A,10
2024/01/03,KS231,CM127,CM127,CM127,KB160,5,548,1490,132,284,132,12181158273,E,12400,12640,N,Y,2
2024/01/03,KS231,CM127,CM127,CM127,KB160,5,558,1530,162,234,162,12181158633,E,800,880,N,Y,10
2024/01/03,KS231,CM127,CM127,CM127,KB160,5,573,1254,124,325,124,12181158249,E,20400,20800,N,Y,2
2024/01/03,KS231,CM127,CM127,CM127,KB230,5,413,1120,87,239,87,12181158096,A,5040,5290,N,Y,5
2024/01/03,KS231,CM127,CM127,CM127,KB230,5,440,1010,97,246,97,12181158314,A,4630,4860,N,Y,5
2024/01/03,KS231,CM127,CM127,CM127,KB230,5,440,1010,97,246,97,12181158315,A,770,840,N,Y,10
2024/01/03,KS231,CM127,CM127,CM127,KB230,5,450,1020,100,250,100,12181158316,A,3280,3440,N,Y,5
2024/01/03,KS231,CM127,CM127,CM127,KB230,5,509,1230,135,239,135,12181158338,A,2160,2260,N,Y,5
2024/01/03,KS231,CM147,,,KB230,3,450,1348,133,184,133,12181158312,E,2400,2520,N,Y,5
2024/01/03,KS231,CM147,,,KB230,3,511,1348,137,237,137,12181158270,A,2400,2520,N,Y,5
2024/01/03,KS231,CM147,CM147,CM147,KB230,5,415,1336,137,141,137,12181159189,A,600,660,N,Y,10
2024/01/03,KS231,CM147,CM147,CM147,KB230,5,490,1520,167,156,167,12181159226,A,2400,2520,N,Y,5
2024/01/03,KS231,CM147,CM147,CM147,KB230,5,500,1540,172,156,172,12181159213,A,2400,2520,N,Y,5
2024/01/03,KS231,CM197,,,KB230,3,341,1070,97,147,97,12181158355,A,400,440,N,Y,10
2024/01/03,KS231,CM197,,,KB230,3,349,1030,91,167,91,12181158055,A,1880,2060,W,Y,10
2024/01/03,KS231,CM197,,,KB230,3,406,1451,115,176,115,12181158076,A,860,940,N,Y,10
2024/01/03,KS231,CM197,,,KB230,3,406,1451,115,176,115,12181158088,A,920,1010,N,Y,10
2024/01/03,KS231,CM197,,,KB230,3,406,1451,115,176,115,12181158085,A,940,1030,W,Y,10
2024/01/03,KS231,CM197,,,KB230,3,468,1030,121,226,121,12181158097,A,3520,3690,N,Y,5
2024/01/03,KS231,CM197,,,KB230,3,468,1030,121,226,121,12181158087,A,1220,1340,W,A,10
2024/01/03,KS231,CM197,,,KB230,3,468,1030,121,226,121,12181158099,A,1120,1230,W,Y,10
2024/01/03,KS231,CM197,CM197,CM197,KB230,5,578,1330,131,316,131,12181159289,E,4400,4620,N,A,5
2024/01/04,CM127,CM127,,,CM127,3,164,392,164,0,0,12181159234,T,1000,1100,Y,A,10
2024/01/04,CM127,CM127,CM127,CM127,CM127,5,0,0,0,0,0,12181159133,W,17280,17620,Y,A,2
2024/01/04,CM127,CM127,CM127,CM127,CM127,5,317,392,317,0,0,12181158274,R,2400,2520,Y,A,5
2024/01/04,CM97,,,CM127,CM97,3,926,1094,926,0,0,12181159204,X,1333,1460,Y,Y,10
2024/01/04,KB160,,,CM127,KB120,3,565,1271,130,305,130,12181159558,A,600,660,X,Y,10
2024/01/04,KB160,,,CM127,KB120,3,664,1271,130,404,130,12181158646,A,860,940,X,Y,10
2024/01/04,KB160,,,CM147,KB160,3,700,1200,700,0,0,12181157831,X,2500,2620,Y,Y,5
2024/01/04,KB160,CM127,,,KB160,3,0,0,0,0,0,12181158340,W,1620,1780,Y,A,10
2024/01/04,KB160,CM127,,,KB160,3,0,0,0,0,0,12181158351,W,830,910,Y,A,10
2024/01/04,KB160,CM127,,,KB160,3,145,0,145,0,0,12181158317,U,3720,3900,Y,A,5
2024/01/04,KB160,CM127,,,KB160,3,145,0,145,0,0,12181158331,U,18720,19090,Y,A,2
2024/01/04,KB160,CM127,,,KB160,3,175,0,175,0,0,12181158279,U,800,880,Y,A,10
2024/01/04,KB160,CM127,,,KB160,3,205,0,205,0,0,12181158341,U,1620,1780,Y,A,10
2024/01/04,KB160,CM127,,,KB160,3,215,0,215,0,0,12181158318,U,770,840,Y,A,10
2024/01/04,KB160,CM127,,,KB160,3,215,0,215,0,0,12181158332,U,3120,3270,Y,A,5
